timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-11-01 03:17:38,SIO,https://audiomack.com/vibeking-sio,141000,4410000,89000,"Oct 30, 2020",6
2025-11-01 03:18:21,Nahj,https://audiomack.com/nahj,24000,3950000,329000,"Dec 27, 2019",7
2025-11-01 03:19:09,Spize,https://audiomack.com/spizeofficial,63400,2360000,50900,"Oct 20, 2021",4
2025-11-01 03:19:47,Will Flash,https://audiomack.com/will-flash,60900,3640000,76900,"Dec 1, 2023",9
2025-11-01 03:20:45,STUNN,https://audiomack.com/stunn,61200,2760000,25700,"Nov 25, 2019",29
