timestamp,artist_name,track_title,track_url,plays,likes,reposts,playlist_adds,release_date
2026-08-02 05:35:14,SIO,SIOAll Hail,https://audiomack.com/vibeking-sio/song/all-hail,406000,4860,N/A,3550,"May 16, 2026"
2026-08-02 05:35:17,SIO,SIOWe know them,https://audiomack.com/vibeking-sio/song/we-know-them,1030000,8780,N/A,7950,"December 10, 2025"
2026-08-02 05:35:20,SIO,SIOMoney-way-na-lost,https://audiomack.com/vibeking-sio/song/money-way-na-lost,1540000,7290,N/A,14400,"February 20, 2024"
2026-08-02 05:35:24,SIO,SIOTime,https://audiomack.com/vibeking-sio/song/sio-time-prod-by-afo4doe-master,1400000,11200,N/A,11300,"July 1, 2025"
2026-08-02 05:35:27,SIO,SIOTrouble,https://audiomack.com/vibeking-sio/song/trouble,366000,2540,N/A,4170,"February 20, 2024"
2026-08-02 05:35:30,SIO,SIOOyoyo,https://audiomack.com/vibeking-sio/song/oyoyo,478000,2400,N/A,3850,"July 15, 2023"
2026-08-02 05:35:34,SIO,SIOsio __ Barnersville _pro.perfect,https://audiomack.com/vibeking-sio/song/sio-barnersville-properfect,241000,1180,N/A,1810,"November 21, 2020"
2026-08-02 05:35:51,Nahj,Nahj9mm,https://audiomack.com/nahj/song/9mm,410000,1750,N/A,1460,"July 29, 2026"
2026-08-02 05:35:54,Nahj,NahjMy Lady,https://audiomack.com/nahj/song/my-lady,3400000,18800,N/A,34800,"September 17, 2025"
2026-08-02 05:35:58,Nahj,NahjBig Man Sound,https://audiomack.com/nahj/song/big-man-sound,841000,3730,N/A,10800,"February 25, 2026"
2026-08-02 05:36:01,Nahj,NahjStupid Me,https://audiomack.com/nahj/song/stupid-me,741000,4630,N/A,7480,"October 18, 2024"
2026-08-02 05:36:04,Nahj,NahjShe Na Know,https://audiomack.com/nahj/song/she-na-know,1000000,6100,N/A,12900,"June 27, 2025"
2026-08-02 05:36:08,Nahj,NahjStupid Me(Acoustic),https://audiomack.com/nahj/song/stupid-meacoustic,186000,1680,N/A,3910,"February 14, 2025"
2026-08-02 05:36:11,Nahj,NahjTha Boi,https://audiomack.com/nahj/song/nahj-tha-boi,39900,279,N/A,178,"March 31, 2023"
2026-08-02 05:36:14,Nahj,NahjScrew You,https://audiomack.com/nahj/song/screw-you,27000,180,N/A,98,"April 26, 2024"
