timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-10-21 03:14:05,SIO,https://audiomack.com/vibeking-sio,138000,4320000,95200,"Oct 30, 2020",6
2025-10-21 03:14:49,Nahj,https://audiomack.com/nahj,22900,3790000,866000,"Dec 27, 2019",7
2025-10-21 03:15:36,Spize,https://audiomack.com/spizeofficial,62700,2320000,54600,"Oct 20, 2021",4
2025-10-21 03:16:13,Will Flash,https://audiomack.com/will-flash,59500,3570000,80000,"Dec 1, 2023",9
2025-10-21 03:17:11,STUNN,https://audiomack.com/stunn,60600,2740000,27400,"Nov 25, 2019",29
