timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-11-23 03:41:20,SIO,https://audiomack.com/vibeking-sio,148000,4570000,77700,"Oct 30, 2020",6
2025-11-23 03:42:04,Nahj,https://audiomack.com/nahj,25700,4240000,187000,"Dec 27, 2019",7
2025-11-23 03:42:52,Spize,https://audiomack.com/spizeofficial,65500,2420000,43400,"Oct 20, 2021",4
2025-11-23 03:43:29,Will Flash,https://audiomack.com/will-flash,64300,3840000,123000,"Dec 1, 2023",10
2025-11-23 03:44:32,STUNN,https://audiomack.com/stunn,62300,2810000,22100,"Nov 25, 2019",29
