timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-12-21 03:43:53,SIO,https://audiomack.com/vibeking-sio,167000,5060000,160000,"Oct 30, 2020",7
2025-12-21 03:44:39,Nahj,https://audiomack.com/nahj,27600,4530000,158000,"Dec 27, 2019",7
2025-12-21 03:45:26,Spize,https://audiomack.com/spizeofficial,68400,2500000,42600,"Oct 20, 2021",4
2025-12-21 03:46:02,Will Flash,https://audiomack.com/will-flash,72100,4270000,265000,"Dec 1, 2023",10
2025-12-21 03:47:03,STUNN,https://audiomack.com/stunn,65600,3300000,289000,"Nov 25, 2019",30
