timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-09-09 07:18:02,SIO,https://audiomack.com/vibeking-sio,4110000,4110000,N/A,N/A,8
2026-09-09 07:18:41,Nahj,https://audiomack.com/nahj,7540000,7540000,N/A,N/A,9
2026-09-09 07:19:24,Spize,https://audiomack.com/spizeofficial,5480000,5480000,N/A,N/A,9
2026-09-09 07:20:07,Will Flash,https://audiomack.com/will-flash,6670000,6670000,N/A,N/A,18
2026-09-09 07:21:35,STUNN,https://audiomack.com/stunn,4330000,4330000,N/A,N/A,32
