timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-11-08 03:09:24,SIO,https://audiomack.com/vibeking-sio,143000,4460000,84700,"Oct 30, 2020",6
2025-11-08 03:10:08,Nahj,https://audiomack.com/nahj,24700,4059999,254000,"Dec 27, 2019",7
2025-11-08 03:10:55,Spize,https://audiomack.com/spizeofficial,64000,2380000,47400,"Oct 20, 2021",4
2025-11-08 03:11:33,Will Flash,https://audiomack.com/will-flash,61800,3690000,76700,"Dec 1, 2023",9
2025-11-08 03:12:31,STUNN,https://audiomack.com/stunn,61600,2780000,24400,"Nov 25, 2019",29
