timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-01-20 03:49:57,SIO,https://audiomack.com/vibeking-sio,184000,5620000,188000,"Oct 30, 2020",7
2026-01-20 03:50:44,Nahj,https://audiomack.com/nahj,29400,4910000,241000,"Dec 27, 2019",7
2026-01-20 03:51:30,Spize,https://audiomack.com/spizeofficial,71600,2590000,41800,"Oct 20, 2021",4
2026-01-20 03:52:07,Will Flash,https://audiomack.com/will-flash,81300,4530000,113000,"Dec 1, 2023",10
2026-01-20 03:53:07,STUNN,https://audiomack.com/stunn,67600,3550000,138000,"Nov 25, 2019",30
