timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-01-15 03:47:11,SIO,https://audiomack.com/vibeking-sio,182000,5560000,208000,"Oct 30, 2020",7
2026-01-15 03:47:58,Nahj,https://audiomack.com/nahj,29200,4880000,256000,"Dec 27, 2019",7
2026-01-15 03:48:45,Spize,https://audiomack.com/spizeofficial,71200,2580000,42200,"Oct 20, 2021",4
2026-01-15 03:49:22,Will Flash,https://audiomack.com/will-flash,80200,4490000,115000,"Dec 1, 2023",10
2026-01-15 03:50:23,STUNN,https://audiomack.com/stunn,67300,3530000,165000,"Nov 25, 2019",30
