timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-05-01 05:48:49,SIO,https://audiomack.com/vibeking-sio,221000,6320000,65000,"Oct 30, 2020",7
2026-05-01 05:49:35,Nahj,https://audiomack.com/nahj,35300,6020000,73900,"Dec 27, 2019",8
2026-05-01 05:50:24,Spize,https://audiomack.com/spizeofficial,93500,3490000,178000,"Oct 20, 2021",6
2026-05-01 05:51:09,Will Flash,https://audiomack.com/will-flash,109000,5620000,85000,"Dec 1, 2023",12
2026-05-01 05:52:15,STUNN,https://audiomack.com/stunn,72500,3830000,27700,"Nov 25, 2019",30
