timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-05-04 05:41:43,SIO,https://audiomack.com/vibeking-sio,223000,6330000,63700,"Oct 30, 2020",7
2026-05-04 05:42:31,Nahj,https://audiomack.com/nahj,35400,6030000,73100,"Dec 27, 2019",8
2026-05-04 05:43:20,Spize,https://audiomack.com/spizeofficial,94200,3520000,172000,"Oct 20, 2021",6
2026-05-04 05:44:05,Will Flash,https://audiomack.com/will-flash,110000,5640000,82200,"Dec 1, 2023",12
2026-05-04 05:45:12,STUNN,https://audiomack.com/stunn,72600,3840000,27500,"Nov 25, 2019",30
