timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-06-22 07:34:28,SIO,https://audiomack.com/vibeking-sio,3521869,3521869,N/A,N/A,7
2026-06-22 07:35:06,Nahj,https://audiomack.com/nahj,6180705,6180705,N/A,N/A,8
2026-06-22 07:35:47,Spize,https://audiomack.com/spizeofficial,3820988,3820988,N/A,N/A,6
2026-06-22 07:36:23,Will Flash,https://audiomack.com/will-flash,6275959,6275959,N/A,N/A,18
2026-06-22 07:37:40,STUNN,https://audiomack.com/stunn,3923985,3923985,N/A,N/A,30
