timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-09-11 07:13:50,SIO,https://audiomack.com/vibeking-sio,4120000,4120000,N/A,N/A,8
2026-09-11 07:14:30,Nahj,https://audiomack.com/nahj,7550000,7550000,N/A,N/A,9
2026-09-11 07:15:13,Spize,https://audiomack.com/spizeofficial,5500000,5500000,N/A,N/A,9
2026-09-11 07:16:02,Will Flash,https://audiomack.com/will-flash,6680000,6680000,N/A,N/A,18
2026-09-11 07:17:19,STUNN,https://audiomack.com/stunn,4340000,4340000,N/A,N/A,32
