timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-02-06 04:21:59,SIO,https://audiomack.com/vibeking-sio,190000,5780000,115000,"Oct 30, 2020",7
2026-02-06 04:22:46,Nahj,https://audiomack.com/nahj,29900,4990000,92800,"Dec 27, 2019",7
2026-02-06 04:23:33,Spize,https://audiomack.com/spizeofficial,72800,2630000,34200,"Oct 20, 2021",4
2026-02-06 04:24:12,Will Flash,https://audiomack.com/will-flash,85300,4730000,125000,"Dec 1, 2023",11
2026-02-06 04:25:20,STUNN,https://audiomack.com/stunn,68500,3620000,82700,"Nov 25, 2019",0
