timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-04-03 04:36:29,SIO,https://audiomack.com/vibeking-sio,211000,6160000,69200,"Oct 30, 2020",7
2026-04-03 04:37:15,Nahj,https://audiomack.com/nahj,34100,5900000,168000,"Dec 27, 2019",8
2026-04-03 04:38:03,Spize,https://audiomack.com/spizeofficial,83100,3030000,112000,"Oct 20, 2021",6
2026-04-03 04:38:47,Will Flash,https://audiomack.com/will-flash,101000,5410000,133000,"Dec 1, 2023",12
2026-04-03 04:39:53,STUNN,https://audiomack.com/stunn,71100,3770000,28300,"Nov 25, 2019",30
