timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-04-07 04:39:40,SIO,https://audiomack.com/vibeking-sio,213000,6190000,70700,"Oct 30, 2020",7
2026-04-07 04:40:26,Nahj,https://audiomack.com/nahj,34300,5920000,125000,"Dec 27, 2019",8
2026-04-07 04:41:16,Spize,https://audiomack.com/spizeofficial,85100,3130000,124000,"Oct 20, 2021",6
2026-04-07 04:42:01,Will Flash,https://audiomack.com/will-flash,103000,5450000,119000,"Dec 1, 2023",12
2026-04-07 04:43:08,STUNN,https://audiomack.com/stunn,71300,3780000,28300,"Nov 25, 2019",30
