timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-02-12 04:30:00,SIO,https://audiomack.com/vibeking-sio,193000,5840000,111000,"Oct 30, 2020",7
2026-02-12 04:30:57,Nahj,https://audiomack.com/nahj,30000,5020000,84200,"Dec 27, 2019",7
2026-02-12 04:31:53,Spize,https://audiomack.com/spizeofficial,73200,2640000,33900,"Oct 20, 2021",4
2026-02-12 04:32:32,Will Flash,https://audiomack.com/will-flash,87000,4820000,139000,"Dec 1, 2023",11
2026-02-12 04:33:36,STUNN,https://audiomack.com/stunn,68800,3650000,70600,"Nov 25, 2019",30
