timestamp,artist_name,track_title,track_url,plays,likes,reposts,playlist_adds,release_date
2025-12-28 03:53:27,SIO,"SIO
We know them",https://audiomack.com/vibeking-sio/song/we-know-them,397000,4860,N/A,2230,"December 10, 2025"
2025-12-28 03:53:31,SIO,"SIO
Time",https://audiomack.com/vibeking-sio/song/sio-time-prod-by-afo4doe-master,1140000,9920,N/A,7950,"July 1, 2025"
2025-12-28 03:53:34,SIO,"SIO
Money-way-na-lost",https://audiomack.com/vibeking-sio/song/money-way-na-lost,1260000,6230,N/A,10900,"February 20, 2024"
2025-12-28 03:53:37,SIO,"SIO
Blessings",https://audiomack.com/vibeking-sio/song/blessings,1540000,14400,N/A,21100,"March 28, 2025"
2025-12-28 03:53:41,SIO,"SIO
Trouble",https://audiomack.com/vibeking-sio/song/trouble,286000,2080,N/A,3020,"February 20, 2024"
2025-12-28 03:53:44,SIO,"SIO
Oyoyo",https://audiomack.com/vibeking-sio/song/oyoyo,429000,2220,N/A,3100,"July 15, 2023"
2025-12-28 03:53:47,SIO,"SIO
sio __ Barnersville _pro.perfect",https://audiomack.com/vibeking-sio/song/sio-barnersville-properfect,209000,1030,N/A,1390,"November 21, 2020"
2025-12-28 03:54:14,Nahj,"Nahj
My Lady",https://audiomack.com/nahj/song/my-lady,2850000,13600,N/A,20500,"September 17, 2025"
2025-12-28 03:54:18,Nahj,"Nahj
She Na Know",https://audiomack.com/nahj/song/she-na-know,965000,5840,N/A,11900,"June 27, 2025"
2025-12-28 03:54:21,Nahj,"Nahj
Stupid Me",https://audiomack.com/nahj/song/stupid-me,667000,4240,N/A,6690,"October 18, 2024"
2025-12-28 03:54:24,Nahj,"Nahj
Stupid Me(Acoustic)",https://audiomack.com/nahj/song/stupid-meacoustic,180000,1650,N/A,3770,"February 14, 2025"
2025-12-28 03:54:27,Nahj,"Nahj
Tha Boi",https://audiomack.com/nahj/song/nahj-tha-boi,35600,248,N/A,128,"March 31, 2023"
2025-12-28 03:54:31,Nahj,"Nahj
Screw You",https://audiomack.com/nahj/song/screw-you,23800,148,N/A,70,"April 26, 2024"
2025-12-28 03:54:34,Nahj,"Nahj
Fearless Freestyle",https://audiomack.com/nahj/song/fearless-freestyle,25200,146,N/A,85,"January 26, 2024"
2025-12-28 03:55:01,Spize,"Spize
Miss You",https://audiomack.com/spizeofficial/song/miss-you,563000,5330,N/A,4250,"August 1, 2025"
2025-12-28 03:55:04,Spize,"Spize
Melo",https://audiomack.com/spizeofficial/song/melo-22,675000,6190,N/A,9100,"June 7, 2024"
2025-12-28 03:55:08,Spize,"Spize
My Side",https://audiomack.com/spizeofficial/song/my-side,886000,7040,N/A,7820,"January 1, 2025"
2025-12-28 03:55:11,Spize,"Spize
With You",https://audiomack.com/spizeofficial/song/with-you-1,405000,4170,N/A,5910,"August 24, 2024"
2025-12-28 03:55:39,Will Flash,"Will Flash
Friday",https://audiomack.com/will-flash/song/friday,402000,2620,N/A,4690,"November 21, 2025"
2025-12-28 03:55:42,Will Flash,"Will Flash
Tell Me",https://audiomack.com/will-flash/song/tell-me,894000,6600,N/A,5820,"June 30, 2025"
2025-12-28 03:55:45,Will Flash,"Will Flash
Single",https://audiomack.com/will-flash/song/single,893000,7110,N/A,7650,"May 9, 2025"
2025-12-28 03:55:48,Will Flash,"Will Flash
My Ex",https://audiomack.com/will-flash/song/my-ex,1530000,11500,N/A,17900,"February 28, 2025"
