timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-11-15 03:13:43,SIO,https://audiomack.com/vibeking-sio,145000,4510000,81200,"Oct 30, 2020",6
2025-11-15 03:14:27,Nahj,https://audiomack.com/nahj,25200,4139999,217000,"Dec 27, 2019",7
2025-11-15 03:15:15,Spize,https://audiomack.com/spizeofficial,64700,2400000,42800,"Oct 20, 2021",4
2025-11-15 03:15:53,Will Flash,https://audiomack.com/will-flash,62700,3720000,74500,"Dec 1, 2023",9
2025-11-15 03:16:50,STUNN,https://audiomack.com/stunn,61900,2790000,23500,"Nov 25, 2019",29
